UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
1273,5,5,SAC,Thomas Robinson,Kansas,5,313,4204,1528,1507,190,0.47,0,0.505,4.6,0.053,-3.5,-1.6,13.4,4.9,4.8,0.6,2012
1329,1,1,CLE,Anthony Bennett,UNLV,4,151,1905,658,472,77,0.392,0.261,0.67,0.5,0.013,-4.8,-1.3,12.6,4.4,3.1,0.5,2013
1330,2,2,ORL,Victor Oladipo,Indiana,8,454,14968,7955,2094,1796,0.438,0.347,0.791,24.6,0.079,0.9,10.8,33,17.5,4.6,4,2013
1331,3,3,WAS,Otto Porter Jr.,Georgetown,9,489,12718,5223,2440,746,0.478,0.401,0.791,35.1,0.133,1.8,12.2,26,10.7,5,1.5,2013
1332,4,4,CHA,Cody Zeller,Indiana,9,494,10973,4202,2949,691,0.52,0.221,0.731,32.2,0.141,-0.5,4.1,22.2,8.5,6,1.4,2013
1333,5,5,PHO,Alex Len,Maryland,9,564,10706,4342,3333,485,0.507,0.331,0.683,21.5,0.097,-1.9,0.3,19,7.7,5.9,0.9,2013
1389,1,1,CLE,Andrew Wiggins,Kansas,8,579,20319,11220,2553,1348,0.449,0.351,0.727,23.5,0.056,-1.5,2.6,35.1,19.4,4.4,2.3,2014
1390,2,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,0.494,0.326,0.743,13.9,0.078,-0.8,2.5,27.5,14.1,5.5,2,2014
1391,3,3,PHI,Joel Embiid,Kansas,6,306,9458,7817,3450,1003,0.488,0.335,0.809,39.9,0.202,5.8,18.5,30.9,25.5,11.3,3.3,2014
1392,4,4,ORL,Aaron Gordon,Arizona,8,506,14584,6530,3178,1264,0.457,0.322,0.699,27.5,0.09,0,7.2,28.8,12.9,6.3,2.5,2014
1393,5,5,UTA,Dante Exum,,6,245,4545,1389,441,515,0.407,0.305,0.764,3.1,0.032,-3.3,-1.5,18.6,5.7,1.8,2.1,2014
1449,1,1,MIN,Karl-Anthony Towns,Kentucky,7,460,15779,10621,5243,1424,0.527,0.396,0.833,63,0.192,4.8,27.2,34.3,23.1,11.4,3.1,2015
